movie,genres,rating,rating-count,num-reviews,num-critics,gross-USA,gross-world
The Shawshank Redemption, Drama,9.3,2288478,8309,167,28699976,28815291
The Godfather, Crime Drama,9.2,1579617,4021,253,134966411,246120974
The Godfather: Part II, Crime Drama,9.0,1103626,1040,178,47834595,48035783
The Dark Knight, Action Crime Drama,9.0,2253536,7000,424,535234033,1005455497
12 Angry Men, Crime Drama,8.9,672124,1618,150,,
Schindler's List, Biography Drama History,8.9,1188230,1861,231,96898818,322287794
The Lord of the Rings: The Return of the King, Action Adventure Drama,8.9,1610045,3727,353,377845905,1142270989
Pulp Fiction, Crime Drama,8.9,1787458,3065,290,107928762,214195434
"The Good, the Bad and the Ugly", Western,8.8,675263,1128,211,25100000,25252481
The Lord of the Rings: The Fellowship of the Ring, Action Adventure Drama,8.8,1625751,5400,341,315544750,887934994
Fight Club, Drama,8.8,1814854,3780,370,37030102,101219059
Forrest Gump, Drama Romance,8.8,1763430,2440,169,330455270,1025920021
Inception, Action Adventure Sci-Fi,8.8,2015648,3970,475,292576195,836836967
The Lord of the Rings: The Two Towers, Action Adventure Drama,8.7,1455074,2577,324,342551365,943282270
Star Wars: Episode V - The Empire Strikes Back, Action Adventure Fantasy,8.7,1136276,1242,228,292194960,550433836
The Matrix, Action Sci-Fi,8.7,1639050,4327,342,171479930,465718730
Goodfellas, Biography Crime Drama,8.7,996233,1333,151,46836214,46884665
One Flew Over the Cuckoo's Nest, Drama,8.7,896537,998,175,108981275,108997629
Shichinin no samurai, Action Adventure Drama,8.6,309465,718,133,318649,322773
Seven, Crime Drama Mystery,8.6,1408845,1500,220,100125643,327333559
Het leven is mooi, Comedy Drama Romance,8.6,608591,1339,151,57563264,230098753
Cidade de Deus, Crime Drama,8.6,688046,1011,225,7564459,30680793
The Silence of the Lambs, Crime Drama Thriller,8.6,1240024,1334,228,130742922,272753884
It's a Wonderful Life, Drama Family Fantasy,8.6,389823,951,177,,
Star Wars: Episode IV - A New Hope, Action Adventure Fantasy,8.6,1208145,1866,192,460998507,775768912
Saving Private Ryan, Drama War,8.6,1209021,2621,268,217049603,482349603
Spirited Away, Animation Adventure Family,8.6,630780,1332,192,13750644,355467076
The Green Mile, Crime Drama Fantasy,8.6,1118278,1779,205,136801374,286801374
Gisaengchung, Comedy Drama Thriller,8.6,484911,2777,546,53369749,257574533
Interstellar, Adventure Drama Sci-Fi,8.6,1461510,4150,626,188020017,696258169
Léon, Action Crime Drama,8.5,1012091,1224,140,19501238,19552639
The Usual Suspects, Crime Mystery Thriller,8.5,972630,1379,149,23341568,23341568
Seppuku, Action Drama Mystery,8.6,38173,257,76,,
The Lion King, Animation Adventure Drama,8.5,921133,1031,228,422783777,968511805
Terug naar de toekomst, Adventure Comedy Sci-Fi,8.5,1032569,1214,247,211406762,388776253
The Pianist, Biography Drama Music,8.5,711296,942,157,32572577,120072577
Terminator 2: Judgment Day, Action Sci-Fi,8.5,978427,1288,296,205881154,520884847
American History X, Drama,8.5,1017497,1596,174,6719864,23875127
Modern Times, Comedy Drama Family,8.5,212487,307,115,163577,457688
Hamilton, Biography Drama History,8.7,41945,512,87,163577,457688
Psycho, Horror Mystery Thriller,8.5,589956,1291,232,32000000,32034402
Gladiator, Action Adventure Drama,8.5,1313418,2662,213,187705427,465361176
City Lights, Comedy Drama Romance,8.5,163691,296,122,19181,46008
The Departed, Crime Drama Thriller,8.5,1164400,2346,289,132384315,291465034
The Intouchables, Biography Comedy Drama,8.5,739992,638,324,10198820,426588510
Whiplash, Drama Music,8.5,694673,1227,585,13092000,48983260
The Prestige, Drama Mystery Sci-Fi,8.5,1161739,1437,362,53089891,109676311
Hotaru no haka, Animation Drama War,8.5,227214,745,128,516962,516962
Once Upon a Time in the West, Western,8.5,296730,713,151,,
Casablanca, Drama Romance War,8.5,512129,1309,197,4108411,4375071
Nuovo Cinema Paradiso, Drama,8.5,224443,514,117,12397210,12953675
Rear Window, Mystery Thriller,8.4,434504,858,166,36764313,37032034
Alien, Horror Sci-Fi,8.4,772091,1452,321,81765459,108110316
Apocalypse Now, Drama Mystery War,8.4,593701,1213,305,83471511,91968688
Memento, Mystery Thriller,8.4,1104194,2291,216,25544867,39970386
Indiana Jones and the Raiders of the Lost Ark, Action Adventure,8.4,868480,948,258,248159971,390133212
De dictator, Comedy Drama War,8.4,198464,3837,248,,
Joker, Crime Drama Thriller,8.5,872298,10548,701,335451311,1074251311
Django Unchained, Drama Western,8.4,1324101,1556,839,162805434,425368238
Das Leben der Anderen, Drama Mystery Thriller,8.4,351133,513,224,11286112,77356942
Paths of Glory, Drama War,8.4,173740,429,163,,
WALL·E, Animation Adventure Family,8.4,978529,1297,269,223808164,521311860
The Shining, Drama Horror,8.4,873934,1861,360,45332952,46520613
Avengers: Infinity War, Action Adventure Sci-Fi,8.4,802778,4280,611,678815482,2048359754
Sunset Boulevard, Drama Film-Noir,8.4,197005,2290,84,299645,299645
Witness for the Prosecution, Crime Drama Mystery,8.4,105480,2798,260,,
Spider-Man: Een nieuw universum, Animation Action Adventure,8.4,340530,1836,397,190241310,375540831
Mononoke-hime, Animation Adventure Fantasy,8.4,333146,717,206,4845631,169785629
Oldeuboi, Action Drama Mystery,8.4,503444,1020,336,707481,15002116
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb, Comedy,8.4,442736,951,226,9440272,9443876
The Dark Knight Rises, Action Adventure,8.4,1487102,3026,548,448139099,1081140725
Once Upon a Time in America, Crime Drama,8.4,303923,625,19,5321508,5472914
Aliens, Action Adventure Sci-Fi,8.3,641771,1312,310,85160248,131387762
Avengers: Endgame, Action Adventure Drama,8.4,765699,8893,557,858373000,2797800564
Kimi no na wa., Animation Drama Fantasy,8.4,181251,674,231,5017246,358922706
Coco, Animation Adventure Family,8.4,356338,1115,408,209726015,807083888
American Beauty, Drama,8.3,1052384,2911,198,130096601,356296601
Braveheart, Biography Drama History,8.3,944415,1280,148,75609945,213216216
3 Idiots, Comedy Drama,8.4,334182,670,57,6532874,60262836
Das Boot, Adventure Drama Thriller,8.3,227472,505,111,11487676,11487676
Toy Story, Animation Adventure Comedy,8.3,868004,623,160,222498679,404265656
Tengoku to jigoku, Crime Drama Mystery,8.4,31864,4733,166,46808,46808
Amadeus, Biography Drama History,8.3,362467,649,115,51973029,52066791
Taare Zameen Par, Drama Family,8.4,163042,3108,71,1223869,21897373
Star Wars: Episode VI - Return of the Jedi, Action Adventure Fantasy,8.3,931431,843,202,309306177,475369689
Inglourious Basterds, Adventure Drama War,8.3,1235532,1895,525,120540719,321455689
Capharnaüm, Drama,8.4,55214,342,184,1661096,64417003
Reservoir Dogs, Crime Drama Thriller,8.3,900126,1164,205,2832029,2889963
Good Will Hunting, Drama Romance,8.3,841326,904,164,138433435,225933435
2001: Een zwerftocht in de ruimte, Adventure Sci-Fi,8.3,590624,2175,269,60541301,68989547
Requiem for a Dream, Drama,8.3,751468,2132,251,3635482,7390108
Vertigo, Mystery Romance Thriller,8.3,355007,870,190,7705225,7796389
M - Eine Stadt sucht einen Mörder, Crime Mystery Thriller,8.3,140140,3209,31,35566,35566
Dangal, Action Biography Drama,8.4,149275,1814,52,12391761,303723636
Eternal Sunshine of the Spotless Mind, Drama Romance Sci-Fi,8.3,893799,1832,298,34400301,74036715
Jagten, Drama,8.3,271338,423,370,613308,15843274
1917, Drama War,8.3,372070,2880,476,159227644,384784776
Citizen Kane, Drama Mystery,8.3,391070,1453,248,1585634,1594107
Full Metal Jacket, Drama War,8.3,661072,859,165,46357676,46357676
Ladri di biciclette, Drama,8.3,142464,4394,124,371111,428978
The Kid, Comedy Drama Family,8.3,109896,193,105,,
North by Northwest, Adventure Mystery Thriller,8.3,293089,614,174,,73446
A Clockwork Orange, Crime Drama Sci-Fi,8.3,743212,1581,184,26589355,26903440
Singin' in the Rain, Comedy Musical Romance,8.3,214203,675,155,1826108,1864182
Snatch, Comedy Crime,8.3,769064,843,157,30328156,83557872
Scarface, Crime Drama,8.3,724487,1057,177,45408703,66023585
Taxi Driver, Crime Drama,8.3,706902,1185,291,28262574,28441292
