movie,genres,rating,rating-count,num-reviews,num-critics,gross-USA,gross-world
The Shawshank Redemption, Drama,9.3,2288478,8309,167.0,28699976.0,28815291.0
The Godfather, Crime Drama,9.2,1579617,4021,253.0,134966411.0,246120974.0
The Godfather: Part II, Crime Drama,9.0,1103626,1040,178.0,47834595.0,48035783.0
The Dark Knight, Action Crime Drama,9.0,2253536,7000,424.0,535234033.0,1005455497.0
12 Angry Men, Crime Drama,8.9,672124,1618,150.0,,
Schindler's List, Biography Drama History,8.9,1188230,1861,231.0,96898818.0,322287794.0
The Lord of the Rings: The Return of the King, Action Adventure Drama,8.9,1610045,3727,353.0,377845905.0,1142270989.0
Pulp Fiction, Crime Drama,8.9,1787458,3065,290.0,107928762.0,214195434.0
"The Good, the Bad and the Ugly", Western,8.8,675263,1128,211.0,25100000.0,25252481.0
The Lord of the Rings: The Fellowship of the Ring, Action Adventure Drama,8.8,1625751,5400,341.0,315544750.0,887934994.0
Fight Club, Drama,8.8,1814854,3780,370.0,37030102.0,101219059.0
Forrest Gump, Drama Romance,8.8,1763430,2440,169.0,330455270.0,1025920021.0
Inception, Action Adventure Sci-Fi,8.8,2015648,3970,475.0,292576195.0,836836967.0
The Lord of the Rings: The Two Towers, Action Adventure Drama,8.7,1455074,2577,324.0,342551365.0,943282270.0
Star Wars: Episode V - The Empire Strikes Back, Action Adventure Fantasy,8.7,1136276,1242,228.0,292194960.0,550433836.0
The Matrix, Action Sci-Fi,8.7,1639050,4327,342.0,171479930.0,465718730.0
Goodfellas, Biography Crime Drama,8.7,996233,1333,151.0,46836214.0,46884665.0
One Flew Over the Cuckoo's Nest, Drama,8.7,896537,998,175.0,108981275.0,108997629.0
Shichinin no samurai, Action Adventure Drama,8.6,309465,718,133.0,318649.0,322773.0
Seven, Crime Drama Mystery,8.6,1408845,1500,220.0,100125643.0,327333559.0
Het leven is mooi, Comedy Drama Romance,8.6,608591,1339,151.0,57563264.0,230098753.0
Cidade de Deus, Crime Drama,8.6,688046,1011,225.0,7564459.0,30680793.0
The Silence of the Lambs, Crime Drama Thriller,8.6,1240024,1334,228.0,130742922.0,272753884.0
It's a Wonderful Life, Drama Family Fantasy,8.6,389823,951,177.0,,
Star Wars: Episode IV - A New Hope, Action Adventure Fantasy,8.6,1208145,1866,192.0,460998507.0,775768912.0
Saving Private Ryan, Drama War,8.6,1209021,2621,268.0,217049603.0,482349603.0
Spirited Away, Animation Adventure Family,8.6,630780,1332,192.0,13750644.0,355467076.0
The Green Mile, Crime Drama Fantasy,8.6,1118278,1779,205.0,136801374.0,286801374.0
Gisaengchung, Comedy Drama Thriller,8.6,484911,2777,546.0,53369749.0,257574533.0
Interstellar, Adventure Drama Sci-Fi,8.6,1461510,4150,626.0,188020017.0,696258169.0
Léon, Action Crime Drama,8.5,1012091,1224,140.0,19501238.0,19552639.0
The Usual Suspects, Crime Mystery Thriller,8.5,972630,1379,149.0,23341568.0,23341568.0
Seppuku, Action Drama Mystery,8.6,38173,257,76.0,,
The Lion King, Animation Adventure Drama,8.5,921133,1031,228.0,422783777.0,968511805.0
Terug naar de toekomst, Adventure Comedy Sci-Fi,8.5,1032569,1214,247.0,211406762.0,388776253.0
The Pianist, Biography Drama Music,8.5,711296,942,157.0,32572577.0,120072577.0
Terminator 2: Judgment Day, Action Sci-Fi,8.5,978427,1288,296.0,205881154.0,520884847.0
American History X, Drama,8.5,1017497,1596,174.0,6719864.0,23875127.0
Modern Times, Comedy Drama Family,8.5,212487,307,115.0,163577.0,457688.0
Hamilton, Biography Drama History,8.7,41945,512,87.0,163577.0,457688.0
Psycho, Horror Mystery Thriller,8.5,589956,1291,232.0,32000000.0,32034402.0
Gladiator, Action Adventure Drama,8.5,1313418,2662,213.0,187705427.0,465361176.0
City Lights, Comedy Drama Romance,8.5,163691,296,122.0,19181.0,46008.0
The Departed, Crime Drama Thriller,8.5,1164400,2346,289.0,132384315.0,291465034.0
The Intouchables, Biography Comedy Drama,8.5,739992,638,324.0,10198820.0,426588510.0
Whiplash, Drama Music,8.5,694673,1227,585.0,13092000.0,48983260.0
The Prestige, Drama Mystery Sci-Fi,8.5,1161739,1437,362.0,53089891.0,109676311.0
Hotaru no haka, Animation Drama War,8.5,227214,745,128.0,516962.0,516962.0
Once Upon a Time in the West, Western,8.5,296730,713,151.0,,
Casablanca, Drama Romance War,8.5,512129,1309,197.0,4108411.0,4375071.0
Nuovo Cinema Paradiso, Drama,8.5,224443,514,117.0,12397210.0,12953675.0
Rear Window, Mystery Thriller,8.4,434504,858,166.0,36764313.0,37032034.0
Alien, Horror Sci-Fi,8.4,772091,1452,321.0,81765459.0,108110316.0
Apocalypse Now, Drama Mystery War,8.4,593701,1213,305.0,83471511.0,91968688.0
Memento, Mystery Thriller,8.4,1104194,2291,216.0,25544867.0,39970386.0
Indiana Jones and the Raiders of the Lost Ark, Action Adventure,8.4,868480,948,258.0,248159971.0,390133212.0
De dictator, Comedy Drama War,8.4,198464,3837,248.0,,
Joker, Crime Drama Thriller,8.5,872298,10548,701.0,335451311.0,1074251311.0
Django Unchained, Drama Western,8.4,1324101,1556,839.0,162805434.0,425368238.0
Das Leben der Anderen, Drama Mystery Thriller,8.4,351133,513,224.0,11286112.0,77356942.0
Paths of Glory, Drama War,8.4,173740,429,163.0,,
WALL·E, Animation Adventure Family,8.4,978529,1297,269.0,223808164.0,521311860.0
The Shining, Drama Horror,8.4,873934,1861,360.0,45332952.0,46520613.0
